fixture,family,size,track,runner,algorithm,ok,wall_ns_median,rounds,best_round,exhausted,peak_rss_kb,n_inputs,n_legacy_inputs,child_weight,child_fee,change_value,child_surplus,ancestors_in_union,union_bump,core_summed_individual_bump,core_combined_bump,covers_union_bump,covers_core_bump,package_fee,package_weight,package_feerate_sat_per_vb,package_meets_target,target_shortfall,within_max_weight,core_waste,waste,score,matches_oracle
adversarial_shared_100,adversarial_shared,100,wallet,bitcoin-core,bnb,True,1050557,100000,,False,19232,10,0,2936,7342,0,2,0,0,0,0,True,True,7342,2936,10.0027,True,0,True,2,2,,
adversarial_shared_100,adversarial_shared,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,90439,486,,True,2804,4,0,1476,3690,157558,0,0,0,0,0,True,True,3690,1476,10.0,True,0,True,604,,4270.0,
adversarial_shared_20,adversarial_shared,20,wallet,bitcoin-core,bnb,True,390802,390,,True,19232,7,0,2120,5335,0,35,0,0,0,0,True,True,5335,2120,10.066,True,0,True,35,35,,
adversarial_shared_20,adversarial_shared,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,25137,49,,True,2808,2,0,932,2330,3240632,0,0,0,0,0,True,True,2330,932,10.0,True,0,True,604,,2910.0,
adversarial_shared_200,adversarial_shared,200,wallet,bitcoin-core,bnb,True,2076218,100000,,False,19232,11,0,3208,8022,0,2,0,0,0,0,True,True,8022,3208,10.0025,True,0,True,2,2,,
adversarial_shared_200,adversarial_shared,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,910937,3709,,True,2828,6,0,2020,5050,1124058,0,0,0,0,0,True,True,5050,2020,10.0,True,0,True,604,,5630.0,
adversarial_shared_50,adversarial_shared,50,wallet,bitcoin-core,bnb,True,1216368,100000,,False,19232,9,0,2664,6660,0,0,0,0,0,0,True,True,6660,2664,10.0,True,0,True,0,0,,
adversarial_shared_50,adversarial_shared,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18404,19,,True,2780,2,0,932,2330,1349326,0,0,0,0,0,True,True,2330,932,10.0,True,0,True,604,,2910.0,
high_feerate_100,high_feerate,100,wallet,bitcoin-core,bnb,True,1283564,100000,,False,19232,10,0,2908,29297,0,217,0,0,0,0,True,True,29297,2908,40.2985,True,0,True,20407,20407,,
high_feerate_100,high_feerate,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,684222,2603,,True,2812,7,0,2172,21720,778863,0,0,0,0,0,True,True,21720,2172,40.0,True,0,True,15274,,22300.0,
high_feerate_20,high_feerate,20,wallet,bitcoin-core,coingrinder,True,483345,16,,True,19232,2,0,892,8920,276101,0,0,0,0,0,True,True,8920,892,40.0,True,0,True,5674,5674,,
high_feerate_20,high_feerate,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,11922,15,,True,2776,2,0,892,8920,276101,0,0,0,0,0,True,True,8920,892,40.0,True,0,True,5674,,9500.0,
high_feerate_200,high_feerate,200,wallet,bitcoin-core,coingrinder,True,1045928,329,,True,19232,8,0,2456,95210,179502,70650,5,70650,70650,70650,True,True,101680,10168,40.0,True,0,True,88054,88054,,
high_feerate_200,high_feerate,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,13913228,79399,,True,2836,15,0,4292,65586,0,22666,2,22635,22635,22635,True,True,66591,6656,40.0186,True,0,True,53236,,65586.0,
high_feerate_50,high_feerate,50,wallet,bitcoin-core,bnb,True,147747,5580,,True,19232,6,1,2089,21200,0,280,0,0,0,0,True,True,21200,2089,40.5354,True,0,True,14360,14360,,
high_feerate_50,high_feerate,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,91591,288,,True,2780,4,1,1717,17200,457984,0,0,0,0,0,True,True,17200,1717,40.0,True,0,True,11854,,17780.0,
nested_ancestry_100,nested_ancestry,100,wallet,bitcoin-core,knapsack,True,2741685,,,,19232,12,0,3652,22176,108101,13046,7,13046,23924,13046,True,True,24260,9704,10.0,True,0,True,13650,13650,,
nested_ancestry_100,nested_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,327293,1109,,True,2792,5,0,1748,4370,282092,0,0,0,0,0,True,True,4370,1748,10.0,True,0,True,604,,4950.0,
nested_ancestry_20,nested_ancestry,20,wallet,bitcoin-core,knapsack,True,585707,,,,19232,14,0,4196,26495,149891,16005,9,16005,68583,16005,True,True,29130,11652,10.0,True,0,True,16609,16609,,
nested_ancestry_20,nested_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,4589,2,,True,2768,1,0,660,1650,208796,0,0,0,0,0,True,True,1650,660,10.0,True,0,True,604,,2230.0,
nested_ancestry_200,nested_ancestry,200,wallet,bitcoin-core,bnb,True,839091,100000,,False,19232,15,0,4468,29808,17129,18638,11,18638,36197,18638,True,True,32980,13192,10.0,True,0,True,19242,19242,,
nested_ancestry_200,nested_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,19358035,100000,,False,2904,17,0,4840,22664,0,10564,5,10359,20718,10359,True,True,24275,9628,10.0852,True,0,True,10564,,22664.0,
nested_ancestry_50,nested_ancestry,50,wallet,bitcoin-core,bnb,True,1729459,100000,,False,19232,10,0,3108,21945,3513,14175,8,14175,17775,14175,True,True,24840,9936,10.0,True,0,True,14779,14779,,
nested_ancestry_50,nested_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,336751,1130,,True,2776,4,0,1476,12919,172282,9229,4,9229,27687,9229,True,True,14400,5760,10.0,True,0,True,9833,,13499.0,
no_ancestry_100,no_ancestry,100,wallet,bitcoin-core,knapsack,True,1546396,,,,19232,16,0,4568,11420,0,0,0,0,0,0,True,True,11420,4568,10.0,True,0,True,0,0,,
no_ancestry_100,no_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,410088,2212,,True,2780,4,0,1476,3690,2203804,0,0,0,0,0,True,True,3690,1476,10.0,True,0,True,604,,4270.0,
no_ancestry_1000,no_ancestry,1000,wallet,bitcoin-core,knapsack,True,2456120,,,,19232,303,0,82640,206580,0,-20,0,0,0,0,False,False,206580,82640,9.999,False,20,True,0,0,,
no_ancestry_1000,no_ancestry,1000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,17834652,100000,,False,3040,44,0,12184,30733,0,273,0,0,0,0,True,True,30733,12184,10.0896,True,0,True,273,,30733.0,
no_ancestry_20,no_ancestry,20,wallet,bitcoin-core,bnb,True,416940,16450,,True,19232,11,0,3208,8025,0,5,0,0,0,0,True,True,8025,3208,10.0062,True,0,True,5,5,,
no_ancestry_20,no_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,5560,13,,True,2756,2,0,932,2330,904494,0,0,0,0,0,True,True,2330,932,10.0,True,0,True,604,,2910.0,
no_ancestry_200,no_ancestry,200,wallet,bitcoin-core,bnb,True,2140229,100000,,False,19232,14,0,4024,10060,0,0,0,0,0,0,True,True,10060,4024,10.0,True,0,True,0,0,,
no_ancestry_200,no_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,1578246,8127,,True,2820,9,0,2836,7090,30296,0,0,0,0,0,True,True,7090,2836,10.0,True,0,True,604,,7670.0,
no_ancestry_2000,no_ancestry,2000,wallet,bitcoin-core,knapsack,True,1363614,,,,19232,328,0,89440,223580,0,-20,0,0,0,0,False,False,223580,89440,9.9991,False,20,True,0,0,,
no_ancestry_2000,no_ancestry,2000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18248657,100000,,False,3340,82,0,22692,56730,31610,0,0,0,0,0,True,True,56730,22692,10.0,True,0,True,604,,57310.0,
no_ancestry_50,no_ancestry,50,wallet,bitcoin-core,bnb,True,1316064,100000,,False,19232,10,0,2936,7341,0,1,0,0,0,0,True,True,7341,2936,10.0014,True,0,True,1,1,,
no_ancestry_50,no_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,345076,1191,,True,2784,4,0,1476,3690,1211609,0,0,0,0,0,True,True,3690,1476,10.0,True,0,True,604,,4270.0,
no_ancestry_500,no_ancestry,500,wallet,bitcoin-core,knapsack,True,628327,,,,19232,37,0,10280,25700,0,0,0,0,0,0,True,True,25700,10280,10.0,True,0,True,0,0,,
no_ancestry_500,no_ancestry,500,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,18181070,100000,,False,2928,24,0,6744,16885,0,25,0,0,0,0,True,True,16885,6744,10.0148,True,0,True,25,,16885.0,
private_ancestry_100,private_ancestry,100,wallet,bitcoin-core,bnb,True,2638632,100000,,False,19232,8,0,2392,5982,0,2,0,0,0,0,True,True,5982,2392,10.0033,True,0,True,2,2,,
private_ancestry_100,private_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,262672,929,,True,2820,6,0,1848,4637,0,17,0,0,0,0,True,True,4637,1848,10.0368,True,0,True,17,,4637.0,
private_ancestry_20,private_ancestry,20,wallet,bitcoin-core,bnb,True,491250,6132,,True,19232,7,0,2120,5438,0,138,0,0,0,0,True,True,5438,2120,10.2604,True,0,True,138,138,,
private_ancestry_20,private_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,10700,17,,True,2772,2,0,932,3378,1096010,1048,1,1048,1048,1048,True,True,3640,1456,10.0,True,0,True,1652,,3958.0,
private_ancestry_200,private_ancestry,200,wallet,bitcoin-core,bnb,True,1514567,100000,,False,19232,14,0,4024,20144,0,10084,5,10080,10080,10080,True,True,23074,9228,10.0017,True,0,True,10084,10084,,
private_ancestry_200,private_ancestry,200,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,8955723,50537,,True,2856,16,0,4568,11420,0,0,0,0,0,0,True,True,11420,4568,10.0,True,0,True,0,,11420.0,
private_ancestry_50,private_ancestry,50,wallet,bitcoin-core,bnb,True,802723,100000,,False,19232,9,0,2664,8116,0,1456,1,1456,1456,1456,True,True,8740,3496,10.0,True,0,True,1456,1456,,
private_ancestry_50,private_ancestry,50,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,373069,2082,,True,2820,3,0,1204,4466,1109604,1456,1,1456,1456,1456,True,True,5090,2036,10.0,True,0,True,2060,,5046.0,
shared_ancestry_100,shared_ancestry,100,wallet,bitcoin-core,knapsack,True,1813246,,,,19232,9,0,2836,17107,97226,10017,2,10017,10017,10017,True,True,18220,7288,10.0,True,0,True,10621,10621,,
shared_ancestry_100,shared_ancestry,100,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,9996983,53709,,True,2812,11,0,3208,14878,0,6858,2,6840,6840,6840,True,True,15638,6248,10.0115,True,0,True,6858,,14878.0,
shared_ancestry_1000,shared_ancestry,1000,wallet,bitcoin-core,bnb,True,1965601,100000,,False,19232,48,0,13444,146873,34651,113263,23,113263,148344,113263,True,True,166820,66728,10.0,True,0,True,113867,113867,,
shared_ancestry_1000,shared_ancestry,1000,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,19665190,100000,,False,3040,44,0,12356,136212,139678,105322,21,105322,140403,105322,True,True,154550,61820,10.0,True,0,True,105926,,136792.0,
shared_ancestry_20,shared_ancestry,20,wallet,bitcoin-core,srd,True,378148,,,,19232,5,0,1748,6359,279412,1989,1,1989,5967,1989,True,True,6580,2632,10.0,True,0,True,2593,2593,,
shared_ancestry_20,shared_ancestry,20,wallet,coin-select,bnb/lowest-fee+srd-fallback,True,9368,20,,True,2800,2,0,932,4319,181597,1989,1,1989,1989,1989,True,True,4540,1816,10.0,True,0,True,2593,,4899.0,
